_	PRON VERB DET ADJ NOUN PART ADV SCONJ PUNCT ADP CCONJ AUX NUM PROPN SYM INTJ _
dries	VERB
soak	VERB
slip	NOUN VERB
casting	NOUN VERB
molding	NOUN
wax	NOUN PROPN
soaking	ADJ VERB NOUN
http://www.mikegigi.com/castgobl.htm#lggobproj	X
noise	NOUN ADV
disturb	VERB ADJ
thei	PRON
energetic	ADJ
hers	PRON
spinner	PROPN
10.99	NUM
12.99	NUM
petsmart	PROPN
digs	VERB
jumps	VERB
noiseless	ADJ
squeaks	NOUN
squeak	NOUN
wrath	NOUN
bored	ADJ
boarding	NOUN VERB
howrah	PROPN
asansol	PROPN
calcutta	PROPN
desired	VERB ADJ
halts	NOUN
halt	NOUN
tc	NOUN
allot	VERB
railway	NOUN
railways	NOUN
josalyn	PROPN
leainne	PROPN
drama	NOUN PROPN
mcallister	PROPN
',	AUX
hvae	AUX
pwople	NOUN
hirier	VERB
2;30	NUM
h=guys	NOUN
jeez	INTJ
punctuation	NOUN
resumes	NOUN
typos	NOUN
typo	NOUN
whatnot	NOUN PRON
2015	NUM
semester	NOUN
reapply	VERB
permits	NOUN VERB
citizenship	NOUN PROPN
c&ic	PROPN
http://www.cic.gc.ca/english/index.asp	X
plastic	ADJ NOUN
wiring	NOUN
rodents	NOUN
flatten	VERB
whhich	DET
http://www.petsathome.com/shop/combi-1-dwarf-hamster-cage-by-ferplast-15986	X
spacious	ADJ
aquiriums	NOUN
aquirium	NOUN
airway	NOUN PROPN
dwarfs	NOUN
cm	NOUN PROPN
hammy	NOUN
rachel	PROPN
unknowledgeable	ADJ
enviroment	NOUN
18th	ADJ
atm	ADV NOUN
prefere	VERB
itchy	ADJ
spare	ADJ NOUN VERB
survival	NOUN PROPN
vietnamese	ADJ PROPN
mayko	PROPN
meiko	PROPN
regenesis	PROPN
actress	NOUN
nguyen	PROPN
fathers	NOUN
orphans	NOUN
e.g	X
thanh	PROPN
===>	SYM
thi	PROPN
thuy	PROPN
lan	PROPN
splitter	NOUN
adsl	NOUN
connected	VERB ADJ
buzzing	NOUN VERB
disconnected	VERB
disconnect	VERB
stil	ADV
modem	NOUN
static	NOUN ADJ
dsl	NOUN PROPN
filtered	VERB ADJ
alarm	NOUN VERB
boxes	NOUN
doubling	VERB
jacks	NOUN
connects	VERB
holga	PROPN
whilst	SCONJ ADV ADP
darkroom	NOUN
rewind	VERB PROPN
scratched	VERB
folds	VERB NOUN
neatly	ADV
unload	VERB
adorama	PROPN
http://www.adorama.com/blcbs.html	X
diy	ADJ NOUN
http://bit.ly/kplaylists	X
fi	NOUN
http://dianacamera.com	X
censored	VERB
sophomore	NOUN
mid-cities	NOUN
mid-city	NOUN
parental	ADJ
nudes	NOUN
nude	NOUN ADJ
pools	NOUN
beaches	NOUN
manikins	NOUN
manikin	NOUN
skipping	VERB
prudish	ADJ
ignoramus	NOUN
davio	PROPN
sidenote	NOUN
grille	PROPN NOUN
morton	PROPN
weighed	VERB
weigh	VERB
ammonia	NOUN
urine	NOUN
jeju	PROPN
namsan	PROPN
amusement	NOUN
lotte	PROPN
everland	PROPN
carribbean	PROPN
^_^	SYM
http://3.bp.blogspot.com/-x_e2uwt6wpw/tkj_7uvtw6i/aaaaaaaaags/e_hicadypyi/s1600/lotte_world_from_high_up.jpg	X
outdoors	ADV
http://v2.cache7.c.bigcache.googleapis.com/static.panoramio.com/photos/original/42661265.jpg?redirect_counter=2	X
http://tong.visitkorea.or.kr/cms/resource/81/188181_image2_1.jpg	X
http://farm3.static.flickr.com/2406/2527255596_db23df940f.jpg	X
hoped	VERB
jejudo	PROPN
dove	NOUN
streaks	NOUN
picky	ADJ
petco	PROPN
doves	NOUN
pigeon	NOUN
eaters	NOUN
bread	NOUN
worms	NOUN
worm	NOUN PROPN
shallow	ADJ NOUN
bait	NOUN VERB
petshoppe	NOUN
wheat	NOUN
cdg	PROPN
rer	PROPN
saint	PROPN NOUN
michel	PROPN
notre	PROPN
dame	PROPN
porte	PROPN
d'	PROPN AUX
bienvenue	PROPN
vanves	PROPN
balard	PROPN
invalides	PROPN
chatillon	PROPN
montrouge	PROPN
crisp	ADJ
editing	NOUN
gimp	PROPN
shots	NOUN PROPN
http://www.flickr.com/photos/adamtolle/6094960940/in/set-72157627535453128/	X
blak	ADJ
>>>	SYM
brightness	NOUN
modes	NOUN
tutorial	NOUN
http://gimpedblog.blogspot.com/2011/09/gimp-video-tutorial-how-to-convert.html	X
adjusting	VERB
chef	VERB NOUN
http://gimpedblog.blogspot.com/2011/09/how-to-use-gimp-for-beginners-lesson-4.html	X
cs5	PROPN
macbook	PROPN
photoscape	PROPN
surgeons	NOUN
bumrungard	PROPN
yanhee	PROPN
brakes	NOUN
brake	NOUN
parachute	NOUN
infections	NOUN
infection	NOUN
accidental	ADJ
nicks	NOUN
bumrungrad	PROPN
http://www.bumrungrad.com/en/patient-services/clinics-and-centers/plastic-surgery-thailand-bangkok/breast-augmentation-ba	X
gravy	NOUN
licks	VERB
lick	VERB
canned	VERB ADJ
moisture	NOUN
spoilage	NOUN
blender	NOUN
anemic	ADJ
mash	VERB PROPN
spoon	NOUN
cantering	VERB
canter	VERB
olympic	PROPN ADJ NOUN
spooky	ADJ
graceful	ADJ
sliding	VERB
rides	VERB NOUN
ribbons	NOUN
ribbon	NOUN
galloping	VERB
gallop	VERB PROPN
encounters	NOUN
encounter	NOUN VERB
foxes	NOUN
deer	NOUN PROPN
woodpeckers	NOUN
woodpecker	NOUN
pecking	VERB ADJ
peck	VERB ADJ
nano	NOUN PROPN
reef	NOUN
carribean	ADJ
maintaining	VERB
1.024	NUM
powerhead	NOUN
sump	NOUN
intake	NOUN
protein	NOUN
skimmer	NOUN
piping	NOUN ADV
hydor	PROPN
slimskim	PROPN
hd	NOUN
kindle	PROPN
e-reader	NOUN
microphone	NOUN
http://www.squidoo.com/nook-tablet	X
ereader	NOUN
http://www.droidforums.net/forum/droid-news/181335-ereader-tablet-comparison-b-n-nook-tablet-b-n-nook-color-kindle-fire-htc-flyer.html	X
pubs	PROPN NOUN
philly	PROPN
tavern	NOUN
to's	NOUN
to'	NOUN
wishing	VERB
chickie	PROPN
pete	PROPN
gosh	INTJ
betta	NOUN
gravel	NOUN
fins	NOUN
fin	NOUN
conditioner	NOUN
sponge	NOUN
bettas	NOUN
heater	NOUN
82	NUM
optinal	ADJ
nessasary	ADJ
aquasafe	NOUN
algae	NOUN
alga	NOUN
lazers	NOUN
lazer	NOUN
wang	NOUN PROPN
recovering	VERB
comic	ADJ NOUN PROPN
sci	NOUN
laser	NOUN
grips	NOUN
wangs	NOUN
screws	NOUN
semi-automatic	ADJ
newer	ADJ
receiver	NOUN
shaft	NOUN
multi	X NOUN
devices	NOUN
flashlight	NOUN
securely	ADV
feeds	VERB NOUN
transitional	ADJ
sleeps	VERB
budgies	NOUN
breast	NOUN
feeding	VERB NOUN
bisexual	ADJ
titts	NOUN
titt	NOUN
feathered	ADJ
611	NUM
compatible	ADJ
ye$	INTJ
u$	PROPN
thi$	DET
$ervice	NOUN
co$t	VERB
varie$	VERB
$ometime$	ADV
$involved	VERB
$ome	DET
unde$tood	VERB
me$$age	NOUN
fernando	PROPN
becouse	SCONJ
panicking	VERB
bouild	VERB
carrot	NOUN
realtion	X
useing	VERB
usee	VERB
chill	VERB ADJ NOUN
firstly	ADV
hammie	NOUN
thirdly	ADV
cge	NOUN
willl	AUX
noises	NOUN
comfy	ADJ
fujairah	PROPN
dubai	PROPN
fishing	NOUN VERB ADJ
snorkeling	NOUN VERB
diving	NOUN
finishing	VERB NOUN
quieter	ADJ
ps3	PROPN NOUN
kinect	PROPN
ds	PROPN
psp	PROPN
ps4	PROPN NOUN
joystick	NOUN
coz	SCONJ
discomfort	NOUN
xbox	PROPN NOUN
joys	PROPN
soo	ADV
comfyy	ADJ
playstation	PROPN
halfway	ADV
lifespan	NOUN
bounces	VERB
ascertain	VERB
wildly	ADV
lifespans	NOUN
conceivable	ADJ
urinary	ADJ
tract	NOUN
outdoor	ADJ
expectancy	NOUN
devon	PROPN
loosing	VERB
resorted	VERB
tame	ADJ VERB PROPN
dat	DET
breyers	NOUN
stables	NOUN
barns	NOUN
stalls	NOUN
miniature	NOUN ADJ
replica	NOUN
sketch	VERB
3d	ADJ
orthographic	ADJ
carpenter	NOUN
glue	NOUN VERB
clamps	NOUN
clamp	NOUN
hinges	NOUN
hinge	NOUN VERB
saws	NOUN
drills	NOUN
bryer	NOUN
vary	VERB
cork	NOUN PROPN
balsa	NOUN
plywood	NOUN
pre-cut	VERB
slats	NOUN
slat	NOUN
hardware	NOUN
http://www.binkyswoodworking.com/horsestable.php	X
http://www.blueoakstables.com/breyerhorsebarns_barn003.asp	X
http://www.railroadredux.com/tag/northwest-shortline/	X
http://www.adventurehobbycraft.com/products/hobby_craft_supplies.html#metal	X
http://www.natureandtech.com/?page_id=2200	X
http://www.utrechtart.com/craft-supplies/woodworking%20supplies/	X
biting	VERB NOUN
bites	VERB NOUN
x.x	SYM
panics	VERB
teething	VERB
teethe	VERB
scratching	NOUN VERB
yarn	NOUN
feathery	ADJ
birdy	NOUN
randomly	ADV
wil	AUX
rambunctious	ADJ
flooring	NOUN
http://www.ebay.co.uk/itm/250927098564?var=550057729382&sspagename=strk:mewax:it&_trksid=p3984.m1438.l2649#ht_2079wt_893	X
http://www.ebay.co.uk/itm/130589513308?var=430034792128&sspagename=strk:mewax:it&_trksid=p3984.m1438.l2648#ht_1500wt_660	X
http://www.ebay.co.uk/itm/250927098564?var=550057729382&sspagename=strk:mewax:it&_trksid=p3984.m1438.l2649#ht_	X
fleece	NOUN
ratty	ADJ
taller	ADJ
hammocks	NOUN
hammock	NOUN
springs	NOUN PROPN
annoying	ADJ PROPN VERB
imo	ADV
http://www.equinecaninefeline.com/catalog/mamble-hamster-narrow-100cm-cage-p-12642.html	X
http://www.equinecaninefeline.com/catalog/abode-large-metal-cage-liberta-free-delivery-p-6679.html	X
http://www.equinecaninefeline.com/catalog/savic-freddy-cage-free-delivery-p-6750.html	X
http://www.netpetshop.co.uk/p-19500-savic-chichi-2-chinchilla-rat-degu-ferret-cage.aspx	X
http://www.justcages.co.uk/ferret-cages/ferplast-furet-plus-ferret-cage#v_431	X
ebay	PROPN
calculater	NOUN
heating	NOUN PROPN VERB
prop	VERB NOUN
heated	VERB
rests	VERB
carpet	NOUN
substrate	NOUN
propping	VERB
slithers	VERB
slither	VERB
opinons	NOUN
opinon	NOUN
uth's	NOUN
uth'	NOUN
burrowing	VERB
snakes	NOUN
uth	NOUN
corns	NOUN
kings	NOUN
milks	NOUN
overt	ADP ADJ
bulb	NOUN
brunch	NOUN
bday	NOUN
fam	NOUN
bridal	ADJ
denny	PROPN
ihop	PROPN
torrance	PROPN
toast	NOUN VERB ADJ
conveniently	ADV
expressway	PROPN
ogden	PROPN
hubbard	PROPN
1381	NUM
60622	NUM
312-666-2372	NUM
coronas	PROPN
heineken	PROPN
l.a.	PROPN
1912	NUM
lifeboats	NOUN
lifeboat	NOUN
solas	PROPN
muster	NOUN VERB
navigation	NOUN
adoption	NOUN
http://www.caribbean-cruising.net	X
--------------------------------------------------	PUNCT
ensures	VERB
proficient	ADJ
okinawa	PROPN
naha	PROPN
venues	NOUN
venue	NOUN
showcase	VERB
shrines	NOUN
shrine	NOUN
sumo	NOUN
conveyor	NOUN
fuji	PROPN
similarities	NOUN
similarity	NOUN
sashimi	NOUN
nightlife	NOUN
izakaya	NOUN
semiautomatic	ADJ
m16	NOUN
16's	NOUN
16'	NOUN
mcnamara	PROPN
16s	NOUN
60s	NOUN
dirtier	ADJ
gunpowder	NOUN
chrome	NOUN PROPN
coating	NOUN VERB
jamming	VERB
semi	X
;p	SYM
aftershocks	NOUN
aftershock	NOUN
rotarua	PROPN
rotorua	PROPN
cbd	PROPN
rubble	NOUN
cleared	VERB ADJ
kaffee	PROPN
eis	PROPN
creams	PROPN NOUN
gelatos	PROPN
www.kaffeeeis.co.nz	X
hazards	NOUN
hazard	NOUN
paranoid	ADJ
sturdy	NOUN ADJ
debris	NOUN ADJ
disciplines	NOUN
discipline	NOUN ADJ VERB
hh	NOUN PROPN
tall	ADJ
pony	NOUN
16.2	NUM
16.3	NUM
tb	PROPN
spurt	NOUN
saddle	VERB NOUN
14.2	NUM
bareback	ADJ ADV
waterfalls	NOUN
waterfall	NOUN
‘	PUNCT
garganta	PROPN
diablo	PROPN
mist	NOUN
shinning	VERB
shin	VERB NOUN
foreground	NOUN
cascades	NOUN
foz	PROPN
iguaçu	PROPN
janeiro	PROPN
reclining	VERB
recline	VERB
brazilian	ADJ
geared	VERB
scenery	NOUN
charlotte	PROPN
deliteful	ADJ
parisians	PROPN
washing	VERB NOUN
ordering	VERB NOUN
intermediate	ADJ
magical	ADJ
edinburgh	PROPN
experice	NOUN
upbringing	NOUN
bta	PROPN
scammers	NOUN
scammer	NOUN
http://www.country-couples.co.uk/datingtips/basic-travel-allowance-bta-dating-scam/	X
traveller	PROPN NOUN
wodges	NOUN
wodge	NOUN
…	PUNCT
http://www.romancescam.com/forum/viewtopic.php?t=7231	X
cic	PROPN
http://www.cic.gc.ca/english/contacts/index.asp	X
birthdate	NOUN
conned	VERB
anti-fraud	PROPN
http://www.antifraudcentre-centreantifraude.ca/english/home-eng.html	X
http://nigeria.usembassy.gov/scams.html	X
reproduce	VERB
tankmates	NOUN
tankmate	NOUN
conditons	NOUN
conditon	NOUN
dempseys	NOUN
bredders	NOUN
bredder	NOUN
breeeding	NOUN
cave	NOUN PROPN
6.5	NUM
bloodworms	NOUN
bloodworm	NOUN
blackworms	NOUN
blackworm	NOUN
earthworms	NOUN
earthworm	NOUN
ther	DET
spaces	NOUN
calico	NOUN
spayed	VERB
spay	VERB NOUN
uterine	NOUN
horn	NOUN
peeing	VERB
scrub	VERB NOUN
urination	NOUN
indicator	NOUN
untreated	ADJ
renal	ADJ
vomiting	NOUN VERB
listlessness	NOUN
toxins	NOUN
toxin	NOUN
immigeration	NOUN
minimunm	NOUN
http://www.cic.gc.ca/english/immigrate/skilled/assess/index.asp	X
residency	NOUN
minimums	NOUN
http://www.canadavisa.com/canadian-immigration-faq-skilled-workers.html	X
accurately	ADV
substituted	VERB
substitute	VERB NOUN
evaluated	VERB
criteria	NOUN
criterion	NOUN
circular	ADJ
basket	NOUN
fineally	ADV
smiling	VERB ADJ
-_-	SYM
fancy	ADJ NOUN VERB PROPN
****	PUNCT
sigh	INTJ VERB NOUN
snooty	ADJ
crapload	NOUN
renaissance	PROPN NOUN
spanned	VERB
marking	VERB NOUN
medieval	ADJ
jacob	PROPN
burckhardt	PROPN
literate	ADJ
patronage	NOUN
rinascimento	PROPN
rebirth	NOUN
humanists	NOUN
humanist	NOUN
labelled	VERB
ages	PROPN NOUN
concentrated	VERB ADJ
periodizing	NOUN
apogee	NOUN
1490s	NOUN
1490	NOUN
fresco	NOUN
supper	PROPN NOUN
lorenzo	PROPN
de'	PROPN
1527	NUM
sacking	NOUN
hochrenaissance	X
nineteenth	ADJ
johann	PROPN
joachim	PROPN
winckelmann	PROPN
over-simplifying	VERB
over-simplify	VERB
iconic	ADJ
http://travel.state.gov/travel/cis_pa_tw/cis/cis_1052.html	X
kindness	NOUN
sussex	NOUN PROPN
silkie	NOUN
pekin	NOUN
silkies	NOUN
hens	NOUN
hen	NOUN
crossbred	VERB
crossbreed	VERB
mutt	NOUN
genetics	NOUN
hookless	ADJ
sussexs	NOUN
recessive	ADJ
rec.	ADJ
dom.	ADJ
genes	NOUN
dilute	VERB ADJ
darker	ADJ
beards	NOUN
muffs	NOUN
muff	NOUN
incomplete	ADV ADJ
shanks	NOUN
shank	NOUN
crest	NOUN
comb	NOUN VERB
walnut	NOUN PROPN
combs	NOUN
genetically	ADV
pea	NOUN
combed	VERB
incompletely	ADV
crosses	NOUN VERB
smarter	ADJ
jamie	PROPN
rhoderunner	PROPN
d7000	NOUN
http://i.imgur.com/s2md2.jpg	X
http://i.imgur.com/t2zff.jpg	X
http://i.imgur.com/xytex.jpg	X
lighting	NOUN PROPN VERB
deleting	VERB
fixture	NOUN
creeping	VERB ADJ
cord	NOUN
crumpled	VERB ADJ
crumple	VERB
curtain	NOUN
compositionally	ADV
calf	NOUN
blurring	VERB
blur	VERB NOUN ADJ
unwanted	ADJ
’m	AUX VERB
’ve	AUX VERB
waked	VERB
desisted	ADJ
cups	NOUN PROPN
bun	NOUN
boarder	NOUN
catholics	PROPN
countryside	NOUN
notable	ADJ NOUN
funeral	NOUN
temperance	NOUN
hight	NOUN
croke	PROPN
25th	ADJ NOUN
12th	NOUN ADJ
marches	PROPN NOUN
unarguable	ADV
ticks	VERB NOUN
ulster	PROPN
paraded	NOUN VERB
brack	NOUN
sinnel	NOUN
col	NOUN
cannon	NOUN
halloween	PROPN
http://news.yahoo.com/nestl-purina-releases-commercial-aimed-dogs-183443091.html	X
squeaky	ADJ
chew	NOUN VERB PROPN ADJ
pitched	VERB ADJ
pitch	VERB NOUN ADJ
advert	NOUN PROPN VERB
t.v.	NOUN
flickering	VERB
flicker	VERB NOUN
streamed	VERB
broadcast	VERB NOUN ADJ
hz	NOUN
scratchy	ADJ
fusion	NOUN PROPN
choppy	ADJ
entery	NOUN
chases	VERB NOUN
hauling	VERB NOUN
0.70	NUM
proportion	NOUN
trailers	NOUN
trailer	NOUN
safest	ADJ
torn	VERB ADJ
unhealthy	ADJ
slant	ADJ VERB
downright	ADV
dehydrated	ADJ
bonded	VERB
insured	VERB
insure	VERB
customize	VERB
http://www.cruisecompete.com/specials/regions/world/1	X
cruisecompete	PROPN
chartering	VERB
itinerary	NOUN
customise	VERB
segments	NOUN
transatlantic	ADV ADJ
barcelona	PROPN
suez	PROPN
canal	NOUN PROPN
upscale	ADJ
shore	NOUN VERB
panamal	PROPN
med	PROPN NOUN
corssing	NOUN
caucasian	ADJ NOUN
wwii	PROPN
asians	PROPN
philipinos	PROPN
caucasians	NOUN PROPN
populous	NOUN ADJ
hippies	NOUN
ethicities	NOUN
ethicity	NOUN
hippy	NOUN
marin	PROPN
drivers	NOUN
latino	ADJ
illegals	NOUN
mid-80s	NOUN
mid-80	NOUN
fewer	ADJ
neighborhoods	NOUN
laborers	NOUN
laborer	NOUN
calif	PROPN
70s	NOUN
willie	PROPN
progressive	ADJ PROPN
tolerant	ADJ
chickens	NOUN
hutch	NOUN
coop	NOUN
scraps	NOUN
veggies	NOUN
veggy	NOUN
digest	VERB
sneaks	VERB
sneak	VERB
roosters	NOUN
rooster	NOUN
duck	NOUN VERB
guinea	NOUN PROPN
pig	NOUN
non-veg	ADJ
holes	NOUN
hole	NOUN VERB
bras	NOUN
pot	NOUN VERB
surounded	VERB
suround	VERB
charcoal	NOUN ADJ
lit	VERB ADJ
pumped	VERB
tin	NOUN
pewter	NOUN ADJ
aluminum	NOUN
zinc	NOUN
echo	VERB NOUN
molten	ADJ
pressurized	VERB
pressurize	VERB
oxygen	NOUN
foresaw	VERB
pouring	VERB
tooling	NOUN
fumes	NOUN
precautions	NOUN
melts	VERB
stove	NOUN
barbecue	NOUN
blacksmithing	NOUN
melted	VERB
crucible	NOUN
propane	NOUN
torch	NOUN
cylinders	NOUN
cylinder	NOUN
http://www.mikegigi.com/castgobl.htm	X
http://www.mikegigi.com/techspec.htm#selctemp	X
blower	NOUN
http://www.mikegigi.com/meltmetl.htm	X
http://www.mikegigi.com/firehole.htm	X
cafes	NOUN
halal	ADJ
dartmouth	PROPN
sliced	VERB
utensils	NOUN
utensil	NOUN
opted	VERB
slaughter	VERB
cutlery	NOUN
bakery	NOUN
hygiene	NOUN
cruelty	NOUN
kosher	ADJ
dictate	VERB
python	NOUN
pythons	NOUN
researching	VERB
buttered	VERB ADJ
butter	VERB NOUN ADJ
pester	VERB
chores	NOUN
chore	NOUN
nagged	VERB
nag	VERB NOUN
bargain	VERB NOUN
salazar	PROPN
flush	VERB NOUN
>:(	SYM
iw	PRON
ould	AUX
jaws	NOUN
detach	VERB
,,	PUNCT
youre	PRON
pre-killed	ADJ
tupperwear	NOUN
tupperware	NOUN
airholes	NOUN
airhole	NOUN
whack	VERB
refrigerator	NOUN
i'd	SCONJ
stun	VERB
tbh	ADV
prongs	NOUN
prong	NOUN
prey	NOUN
judgement	NOUN
frozen	VERB ADJ
im	PROPN NOUN
subway	NOUN PROPN
immigrate	VERB
favours	NOUN
http://www.cic.gc.ca/english/immigrate/index.asp	X
overstay	VERB
expulsion	NOUN
...........	PUNCT
process's	NOUN
process'	NOUN
bags	NOUN
...............	PUNCT
shih	NOUN PROPN
tzu	NOUN
clip	NOUN VERB
blades	NOUN
swivels	VERB
swivel	VERB NOUN
harshly	ADV
scold	VERB
admire	VERB
obedience	NOUN
treats	NOUN VERB
clicker	NOUN
agra	PROPN
varanasi	PROPN
rs	SYM
wandering	VERB NOUN
ajay	PROPN
travelguides	NOUN
travelguide	NOUN
tripadvisor	PROPN
travellers	NOUN
http://www.goldentriangleindia.com/delhi/hotels-in-delhi.html	X
aster	PROPN
birla	PROPN
mandir	PROPN
connaught	PROPN
jantar	PROPN
mantar	PROPN
atithi	PROPN
aditya	PROPN
centrally	ADV
situated	VERB
situate	VERB
sandeep	PROPN
degu	NOUN
degus	NOUN
trainable	ADJ
hoodie	NOUN
pouch	NOUN
trios	NOUN
trio	NOUN PROPN
skittish	ADJ
preferred	VERB ADJ
cavies	NOUN
cavy	NOUN
awake	ADJ ADV
whistle	VERB NOUN ADJ
encouragement	NOUN
leaf	NOUN
lettuce	NOUN
romaine	NOUN
tomatos	NOUN
tomato	NOUN
celery	NOUN
cucumbers	NOUN
cucumber	NOUN PROPN
carrots	NOUN
cauliflower	NOUN
garlic	NOUN
onions	NOUN
potatos	NOUN
cleaser	NOUN
fostering	VERB
foster	VERB NOUN PROPN
hating	VERB
wit	NOUN PROPN
ruining	VERB
disgustingly	ADV
scratches	NOUN
batch	NOUN
scooping	VERB NOUN
awhile	ADV
medication	NOUN
deworming	NOUN
claws	NOUN
claw	NOUN VERB
inappropriately	ADV
sleeves	NOUN
interacting	VERB
interact	VERB
socialization	NOUN
clawing	VERB
litterbox	NOUN
volunteering	NOUN VERB
;-)	SYM
evidentary	ADJ
registrar	NOUN PROPN
thunder	PROPN NOUN VERB
expedited	VERB
expedite	VERB
http://www.ontario.ca/en/information_bundle/birthcertificates/119274.html	X
http://www.ontario.ca/en/information_bundle/birthcertificates/119275.html	X
teens	NOUN
followings	NOUN
aficionados	NOUN
aficionado	NOUN
mariner	PROPN
cayman	PROPN
cozumel	PROPN
bahamas	PROPN
maarten	PROPN
cay	PROPN
turk	PROPN NOUN
coco	PROPN
labadee	PROPN
haiti	PROPN
distinguishing	ADJ VERB
afterward	ADV
comedian	NOUN
juggling	NOUN
comedians	NOUN
friendliness	NOUN
waiter	NOUN
crews	NOUN
choosing	VERB
spa	NOUN PROPN
cruiseline	NOUN
regent	PROPN
rssc.com	X
hehe	INTJ
smartest	ADJ
worldly	ADJ
hawaii	PROPN
disney	PROPN
savannah	PROPN
charleston	PROPN
nashville	PROPN
seville	PROPN
valencia	PROPN
bilboa	PROPN
pamplona	PROPN
guernica	PROPN
lisbon	PROPN
algarve	PROPN
pyrenees	PROPN
andorra	PROPN
dislikes	NOUN
europass	PROPN
desires	VERB NOUN
nigeria	PROPN
obudu	PROPN
menaces	NOUN
bowls	NOUN
cheek	NOUN
freaked	VERB
shepherd	NOUN PROPN
behaviors	NOUN
crate	NOUN
frustrating	ADJ
potty	NOUN
fetch	VERB
patients	NOUN
tosses	VERB
repition	NOUN
tricks	NOUN PROPN
classes	NOUN
mekong	PROPN
ho	PROPN INTJ
chi	PROPN
sinh	PROPN
248	NUM
packer	NOUN
tele	NOUN
84838389593	NUM
adventurous	ADJ
tho	PROPN SCONJ
waterfront	NOUN
biking	VERB
souvenirs	NOUN
souvenir	NOUN
pho	PROPN NOUN
tre	PROPN
kiwi	PROPN
cho	PROPN
moto	NOUN
ex-pat	NOUN
coconut	NOUN PROPN
candies	NOUN
quad	NOUN
bikes	NOUN
touristy	ADJ
fino	NOUN
unsteady	ADJ
flops	VERB
freakin	ADJ
riders	NOUN
noticing	VERB
dressage	NOUN
scissors	NOUN
wile	NOUN
throws	VERB
stirrups	NOUN
stirrup	NOUN
evenly	ADV
wight	NOUN
irons	NOUN
knees	NOUN
alot	ADV
thigh	NOUN
brase	NOUN
flopping	NOUN
:/	SYM
gastroenteritis	NOUN
diarheya	NOUN
vomit	VERB
pancreatitis	NOUN
abnormal	ADJ
fluids	NOUN
injection	NOUN
nausea	NOUN
antibiotics	NOUN
antibiotic	NOUN
tryed	VERB
trye	VERB
grocerys	NOUN
boiled	VERB
seince	SCONJ
etter	ADV
walkin	VERB
wagin	VERB
everbody	NOUN
irritation	NOUN
stomach	NOUN VERB
intestines	NOUN
intestine	NOUN
parvovirus	PROPN
radiographs	NOUN
radiograph	NOUN
prescribe	VERB
severly	ADJ
electrolyte	NOUN
imbalances	NOUN
diet	NOUN
hospitalized	VERB
hospitalize	VERB
hydration	NOUN
veterinarian	NOUN
spices	NOUN
spice	NOUN VERB
obstruction	NOUN
etiquette	NOUN
20's	NOUN
20'	NOUN
anglo	X
saxon	ADJ
saxons	PROPN
seriousness	NOUN
stringing	VERB
string	VERB NOUN PROPN
contrary	ADJ NOUN ADV
scenarios	NOUN
backgrounds	NOUN
fancies	VERB
pals	NOUN
uni	NOUN
apron	NOUN
strings	NOUN
christiane	PROPN
pleasing	ADJ
sluts	NOUN
slut	NOUN
unfair	ADJ
handicap	NOUN
zealander	PROPN NOUN
25,000	NUM
w.a.b.b.y	PROPN
you're	PRON
dux	PROPN
litterarum	PROPN
melodramatic	ADJ
hatmanone	PROPN
gasps	VERB
compassionate	ADJ
teenage	ADJ NOUN
mellow	X
worthless	ADJ
employable	ADJ
profession	NOUN
otago	PROPN
accents	NOUN
racked	VERB
cough	VERB NOUN
c.	NOUN ADV X ADP PROPN
advertised	VERB
networking	NOUN
feisty	ADJ
pinkies	NOUN
pinkie	NOUN
pinky	NOUN
crawls	VERB
braining	VERB
bloodying	VERB
tuna	NOUN
tweezers	NOUN
hibernate	VERB
hibernation	NOUN
brumation	NOUN
slowed	ADJ VERB
metabolism	NOUN
cooler	ADJ
shedding	VERB NOUN
enclosure	NOUN
bred	VERB
milky	ADJ
dull	ADJ
neutered	VERB
neuter	VERB NOUN
sniffing	VERB
hissed	VERB
hisses	VERB
pawing	VERB
roughhouse	NOUN VERB
intruder	NOUN
rub	VERB
furniture	NOUN PROPN
invading	VERB
scruff	NOUN
guts	NOUN
gut	NOUN
reminded	VERB
cries	VERB NOUN
f*ck	NOUN
hitting	VERB
paws	NOUN
tails	NOUN
wagging	VERB
wag	VERB
tet	PROPN
1964	NUM
pacify	VERB
westmoreland	PROPN
pacifying	VERB
vc	PROPN
challenged	VERB
nva	PROPN
swept	VERB ADJ
sweep	VERB ADJ NOUN
leaned	VERB
firepower	NOUN
sunny	ADJ
stranded	VERB
strand	VERB NOUN
peasants	NOUN
infiltrate	VERB
redeploying	VERB
redeploy	VERB
counterattacked	VERB
counterattack	VERB
hue	PROPN
….	PUNCT
topple	VERB
intents	NOUN
shattered	ADJ VERB
obtuse	ADJ
platter	NOUN
lbj	PROPN
antiwar	ADJ
emancipate	VERB
unpalatable	ADJ
subduing	VERB
vo	PROPN
giap	PROPN
reflector	NOUN
uva	NOUN PROPN
psycholical	ADJ
eatin	VERB
juvenile	NOUN
crickets	NOUN
cricket	NOUN
diurnal	ADJ
emitting	VERB
emit	VERB
bulbs	NOUN
reproduced	VERB
fluorescent	ADJ
mvb	NOUN
vapor	NOUN
coiled	ADJ
blindness	NOUN
zoomed	PROPN
repsitun	PROPN
